sample_id,country_code,level0,level1_family,level2_genus,level3_species,location,source,species_key,year,longitude,latitude,Category
3549655,US,Deciduous Broadleaf,Grossulariaceae,Ribes,Ribes speciosum,United States of America,iNaturalist Research-grade Observations,2986206,2022,-117.738724,33.54400237,Frequent
5413622,AU,Evergreen Broadleaf,Myrtaceae,Eucalyptus,Eucalyptus crebra,Australia,NSW BioNet Atlas,3176920,2022,149.212999,-32.16915004,Common
3253179,CA,Deciduous Broadleaf,Juglandaceae,Carya,Carya illinoiensis,Canada,iNaturalist Research-grade Observations,3054287,2023,-78.46000557,44.12121748,Common
2839213,CA,Evergreen Broadleaf,Ericaceae,Gaultheria,Gaultheria hispidula,Canada,iNaturalist Research-grade Observations,2882756,2022,-91.45588168,49.36222637,Frequent
5589047,AU,Evergreen Broadleaf,Myrtaceae,Eucalyptus,Eucalyptus globoidea,Australia,iNaturalist Research-grade Observations,3177046,2023,149.9010472,-37.05892891,Common
4071223,US,Deciduous Broadleaf,Fagaceae,Quercus,Quercus macrocarpa,United States of America,iNaturalist Research-grade Observations,2878213,2023,-96.8142541,33.15770599,Frequent
4648705,US,Evergreen Broadleaf,Ericaceae,Arctostaphylos,Arctostaphylos glandulosa,United States of America,iNaturalist Research-grade Observations,2882491,2023,-122.8735617,38.09224085,Frequent
5378037,AU,Deciduous Broadleaf,Fabaceae,Acacia,Acacia linearifolia,Australia,NSW BioNet Atlas,2979169,2021,149.8269458,-32.39005836,Common
519486,GE,Deciduous Broadleaf,Rosaceae,Sorbus,Sorbus aria,Georgia,iNaturalist Research-grade Observations,5015,2023,44.75147574,41.70269025,Frequent
4437441,US,Deciduous Broadleaf,Rhamnaceae,Rhamnus,Rhamnus cathartica,United States of America,iNaturalist Research-grade Observations,3039491,2023,-72.12774764,41.95969054,Frequent
4896724,US,Deciduous Needleleaf,Cupressaceae,Taxodium,Taxodium distichum,United States of America,iNaturalist Research-grade Observations,2684191,2023,-82.22647891,28.15115664,Frequent
4142393,US,Deciduous Broadleaf,Fagaceae,Quercus,Quercus marilandica,United States of America,iNaturalist Research-grade Observations,2881630,2021,-95.99309727,36.06792491,Frequent
87103,ZA,Evergreen Broadleaf,Ebenaceae,Diospyros,Diospyros lycioides,South Africa,iNaturalist Research-grade Observations,4070128,2023,27.84439724,-26.08555388,Common
5013817,US,Deciduous Needleleaf,Cupressaceae,Taxodium,Taxodium distichum,United States of America,iNaturalist Research-grade Observations,2684191,2024,-83.59248439,31.25420939,Frequent
6159006,CO,Deciduous Broadleaf,Fabaceae,Prosopis,Prosopis juliflora,Colombia,Biodiversidad asociada al Estudio de Impacto Ambiental del proyecto: Interconexión Cuestecitas - Copey - Fundación 500/220 mil voltios,5358460,2019,-72.95363112,10.73203064,Frequent
3160285,US,Deciduous Broadleaf,Anacardiaceae,Rhus,Rhus microphylla,United States of America,iNaturalist Research-grade Observations,7707078,2024,-103.3705551,29.2795277,Common
3049310,MX,Evergreen Broadleaf,Cactaceae,Cephalocereus,Cephalocereus nudus,Mexico,iNaturalist Research-grade Observations,3957682,2021,-96.160483,15.7268258,Common
2470565,PL,Deciduous Broadleaf,Rosaceae,Prunus,Prunus spinosa,Poland,Pl@ntNet automatically identified occurrences,3023221,2022,15.45114634,52.51638933,Frequent
147337,MG,Evergreen Broadleaf,Proteaceae,Dilobeia,Dilobeia thouarsii,Madagascar,iNaturalist Research-grade Observations,7590974,2015,48.43396192,-18.83129209,Rare
220037,RE,Evergreen Broadleaf,Lecythidaceae,Barringtonia,Barringtonia asiatica,Réunion,Pl@ntNet automatically identified occurrences,3082920,2021,55.55132486,-21.36959523,Common
6199487,CO,Evergreen Broadleaf,Fabaceae,Senegalia,Senegalia polyphylla,Colombia,Biodiversidad asociada al Estudio de Impacto Ambiental del proyecto: Interconexión Cuestecitas - Copey - Fundación 500/220 mil voltios,2980360,2018,-73.36957607,10.25485778,Common
147324,MG,Evergreen Broadleaf,Proteaceae,Dilobeia,Dilobeia thouarsii,Madagascar,iNaturalist Research-grade Observations,7590974,2018,48.4193004,-18.93654025,Rare
3090081,MX,Evergreen Broadleaf,Polygalaceae,Securidaca,Securidaca volubilis,Mexico,iNaturalist Research-grade Observations,1370,2023,-100.2561896,19.06308954,Frequent
4511955,US,Evergreen Needleleaf,Cupressaceae,Thuja,Thuja occidentalis,United States of America,iNaturalist Research-grade Observations,2684178,2017,-87.10688029,45.2516219,Frequent
499056,KR,Evergreen Broadleaf,Lauraceae,Lindera,Lindera obtusiloba,"Korea, Republic of",iNaturalist Research-grade Observations,7304491,2021,127.7990179,37.84972818,Common
3607378,US,Deciduous Broadleaf,Fabaceae,Dalea,Dalea frutescens,United States of America,iNaturalist Research-grade Observations,5353200,2020,-98.25401311,30.3382699,Common
5064110,US,Evergreen Broadleaf,Myricaceae,Morella,Morella cerifera,United States of America,iNaturalist Research-grade Observations,3168995,2019,-81.56888636,30.08951003,Frequent
486137,IN,Deciduous Broadleaf,Rhamnaceae,Ziziphus,Ziziphus rugosa,India,iNaturalist Research-grade Observations,7273665,2019,72.91752578,19.43261078,Rare
6259742,CL,Deciduous Broadleaf,Nothofagaceae,Nothofagus,Nothofagus dombeyi,Chile,iNaturalist Research-grade Observations,2874895,2015,-73.00119189,-37.79391808,Common
4262934,US,Deciduous Broadleaf,Paulowniaceae,Paulownia,Paulownia tomentosa,United States of America,Pl@ntNet automatically identified occurrences,3170823,2021,-85.34858986,34.97442402,Frequent
668035,AT,Deciduous Broadleaf,Rosaceae,Prunus,Prunus padus,Austria,"Observation.org, Nature data from around the World",3021037,2024,12.94760189,47.93110018,Frequent
5517139,AU,Evergreen Needleleaf,Casuarinaceae,Allocasuarina,Allocasuarina simulans,Australia,NSW BioNet Atlas,2891911,2022,152.544001,-32.24096386,Rare
