sample_id,country_code,level0,level1_family,level2_genus,level3_species,location,source,species_key,year,longitude,latitude,Category
76400,ZA,Evergreen Broadleaf,Asphodelaceae,Aloe,Aloe africana,South Africa,iNaturalist Research-grade Observations,2777855.0,2021,25.43549275153964,-33.71219074447846,Rare
1837993,IE,Deciduous Broadleaf,Fagaceae,Castanea,Castanea sativa,Ireland,iNaturalist Research-grade Observations,5333294.0,2024,-9.524002198709756,52.0555635343314,Frequent
4505074,US,Evergreen Needleleaf,Cupressaceae,Thuja,Thuja plicata,United States of America,iNaturalist Research-grade Observations,2684171.0,2023,-122.16778411988022,48.33391753130651,Frequent
3724825,US,Deciduous Broadleaf,Oxalidaceae,Oxalis,Oxalis macrantha,United States of America,iNaturalist Research-grade Observations,2891648.0,2024,-86.29011121261472,35.85519903795613,Rare
2385513,SE,Deciduous Broadleaf,Malvaceae,Malva,Malva moschata,Sweden,Artportalen,3152379.0,2015,13.873190870289244,58.03971727996525,Frequent
452558,TW,Deciduous Broadleaf,Scrophulariaceae,Buddleja,Buddleja asiatica,Chinese Taipei,iNaturalist Research-grade Observations,3173333.0,2024,121.08326831626744,22.856206010992832,Common
3928801,US,Deciduous Broadleaf,Betulaceae,Ostrya,Ostrya virginiana,United States of America,iNaturalist Research-grade Observations,5332289.0,2023,-93.8531523774548,46.28240107324345,Frequent
4750109,US,Evergreen Needleleaf,Cupressaceae,Juniperus,Juniperus ashei,United States of America,iNaturalist Research-grade Observations,2684487.0,2023,-97.79178715594249,30.40632916008108,Frequent
6156334,CO,Deciduous Broadleaf,Fabaceae,Samanea,Samanea saman,Colombia,Biodiversidad asociada al Estudio de Impacto Ambiental del proyecto: Interconexión Cuestecitas - Copey - Fundación 500/220 mil voltios,2972960.0,2018,-73.1549952077929,10.429262139974012,Frequent
1000408,DE,Deciduous Broadleaf,Fabaceae,Medicago,Medicago lupulina,Germany,naturgucker,2965201.0,2017,6.161657181268371,51.26395270161631,Frequent
3814700,US,Deciduous Broadleaf,Hypericaceae,Hypericum,Hypericum tenuifolium,United States of America,iNaturalist Research-grade Observations,3710846.0,2022,-81.20346749061424,28.3565383741257,Common
1037941,ES,Deciduous Broadleaf,Fagaceae,Quercus,Quercus rotundifolia,Spain,iNaturalist Research-grade Observations,2881550.0,2020,-3.740244913518816,40.49545998990035,Frequent
369797,TW,Evergreen Broadleaf,Arecaceae,Arenga,Arenga engleri,Chinese Taipei,iNaturalist Research-grade Observations,2733994.0,2020,120.61765344336766,23.5509919234334,Frequent
4506970,US,Evergreen Needleleaf,Cupressaceae,Thuja,Thuja plicata,United States of America,iNaturalist Research-grade Observations,2684171.0,2021,-121.55565656366736,48.751284930807984,Frequent
2996534,CA,Evergreen Needleleaf,Cupressaceae,Thuja,Thuja plicata,Canada,iNaturalist Research-grade Observations,2684171.0,2022,-122.6075941749837,49.13951656402625,Frequent
454747,TW,Evergreen Broadleaf,Euphorbiaceae,Croton,Croton cascarilloides,Chinese Taipei,iNaturalist Research-grade Observations,3057960.0,2024,120.83657746868764,22.373552912967856,Common
450395,TW,Evergreen Broadleaf,Primulaceae,Ardisia,Ardisia paniculata,Chinese Taipei,iNaturalist Research-grade Observations,3169458.0,2023,120.80448977750706,22.21700725228453,Frequent
3565235,US,Deciduous Broadleaf,Oxalidaceae,Oxalis,Oxalis drummondii,United States of America,iNaturalist Research-grade Observations,2891752.0,2022,-97.46695056240104,31.197953370099327,Common
5214606,AU,Evergreen Broadleaf,Amaranthaceae,Alternanthera,Alternanthera sessilis,Australia,SA Flora,3084939.0,2017,140.56352905160588,-34.33032025070923,Common
6055046,CO,Deciduous Broadleaf,Fabaceae,Enterolobium,Enterolobium cyclocarpum,Colombia,Aprovechamiento Forestal en el área de influencia del Proyecto Hidroeléctrico Ituango,2961150.0,2018,-75.8596049834468,6.760674980384075,Frequent
2588485,RU,Deciduous Broadleaf,Rosaceae,Spiraea,Spiraea salicifolia,Russian Federation,iNaturalist Research-grade Observations,3026454.0,2022,103.18535972165374,52.451803713041656,Common
2998122,CA,Evergreen Needleleaf,Cupressaceae,Thuja,Thuja plicata,Canada,iNaturalist Research-grade Observations,2684171.0,2020,-122.87518482920096,49.331284663930745,Frequent
3468439,US,Deciduous Broadleaf,Cornaceae,Cornus,Cornus nuttallii,United States of America,iNaturalist Research-grade Observations,8288790.0,2024,-119.10800694531936,37.02193174679233,Frequent
379912,TW,Evergreen Broadleaf,Euphorbiaceae,Croton,Croton cascarilloides,Chinese Taipei,iNaturalist Research-grade Observations,3057960.0,2024,120.66979371198563,22.87803776975052,Common
3814581,US,Deciduous Broadleaf,Hypericaceae,Hypericum,Hypericum tenuifolium,United States of America,iNaturalist Research-grade Observations,3710846.0,2023,-82.39299512403568,27.015610882636626,Common
3451104,US,Deciduous Broadleaf,Sapindaceae,Acer,Acer glabrum,United States of America,iNaturalist Research-grade Observations,3189864.0,2023,-114.18840560788202,48.8436953410396,Frequent
5943608,CO,Deciduous Broadleaf,Asteraceae,Smallanthus,Smallanthus pyramidalis,Colombia,"Flora de las Reservas Distritales de Humedal de Bogotá, D.C.",3145318.0,2021,-74.1075216202237,4.758939926481686,Rare
4432927,US,Deciduous Broadleaf,Platanaceae,Platanus,Platanus occidentalis,United States of America,iNaturalist Research-grade Observations,3152820.0,2018,-76.87352875828248,39.31428871185307,Frequent
4196524,US,Deciduous Broadleaf,Betulaceae,Ostrya,Ostrya virginiana,United States of America,iNaturalist Research-grade Observations,5332289.0,2018,-87.47887633975601,35.46435437152054,Frequent
305659,TW,Deciduous Broadleaf,Juglandaceae,Platycarya,Platycarya strobilacea,Chinese Taipei,iNaturalist Research-grade Observations,7148630.0,2020,121.19035362806596,24.491822113801,Common
