level3_species,level2_genus,level1_family,level0,species_key
Strobilanthes abbreviata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769392
Strobilanthes adenophora,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769332
Strobilanthes adnata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769324
Strobilanthes adpressa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769317
Strobilanthes afriastiniae,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769302
Strobilanthes albostriata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769252
Strobilanthes alboviridis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769243
Strobilanthes amabilis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769234
Strobilanthes anamallaica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769218
Strobilanthes andamanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769181
Strobilanthes andersonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769174
Strobilanthes angustifrons,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769159
Strobilanthes antonii,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769120
Strobilanthes apoensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769114
Strobilanthes aprica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769099
Strobilanthes arborea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769092
Strobilanthes arenicola,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769088
Strobilanthes argentea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769080
Strobilanthes arnottiana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769063
Strobilanthes assimulata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769016
Strobilanthes asymmetrica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769009
Strobilanthes atropurpurea,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769000
Strobilanthes aurita,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768963
Strobilanthes autapomorpha,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768945
Strobilanthes axilliflora,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768937
Strobilanthes backeri,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768930
Strobilanthes bantonensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768912
Strobilanthes barisanensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768887
Strobilanthes involucrata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3768976
Strobilanthes japonica,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3769041
Strobilanthes sabiniana,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778438
Strobilanthes saccata,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778431
Strobilanthes saltiensis,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778417
Strobilanthes sarmentosa,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778394
Strobilanthes scaber,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778377
Strobilanthes scabrida,Strobilanthes,Acanthaceae, Deciduous Broadleaf,3778371
