"level3_species","species_key","de_observations","common_name_en"
"Fagus sylvatica",2882316,20441,"Beech"
"Dryocopus martius",2477872,11353,"Black Woodpecker"
"Cupania sylvatica",6657,10609,"Litchi family"
"Vaccinium myrtillus",2882833,10424,"Bilberry"
"Prunus padus",3021037,7988,"Bird Cherry"
"Sorbus aucuparia",3012167,7799,"European Mountain-ash"
"Croton laccifer",4691,7022,"Euphorbia family"
"Prunus spinosa",3023221,6487,"Blackthorn"
"Ilex aquifolium",5414222,5998,"English holly"
"Sambucus racemosa",2888723,5972,"American red elderberry"
"Corylus avellana",2875979,5079,"Barcelona-nuts"
"Euonymus europaeus",3169131,4815,"Common Spindle"
"Viburnum lantana",2888615,3989,"Mealytree"
"Quercus oblongata",2877951,3854,"Acorn"
"Schefflera macrophylla",8800,3818,"Aralia and Ivy family"
"Viburnum opulus",2888605,3728,"Crampbark"
"Sambucus ebulus",2888722,3234,"Danewort"
"Carpinus betulus",2875818,2991,"Caucasian Hornbeam"
"Populus tremula",3040249,2796,"Aspen"
"Cornus sanguinea",3082234,2636,"Bloodtwig dogwood"
"Cytisus scoparius",5354656,2588,"Broom"
"Sambucus nigra",2888728,2534,"Black Elder"
"Vaccinium vitis-idaea",2882835,2492,"Alpine Cranberry"
"Veronica officinalis",3172049,2483,"Common Gypsyweed"
"Alnus glutinosa",2876213,2299,"Alder"
"Prunus serotina",3021850,1964,"Black Cherry"
"Salvia pratensis",2927007,1776,"Introduced sage"
"Castanea sativa",5333294,1760,NA
"Erigeron annuus",3117449,1750,"Annual Fleabane"
"Cornus mas",3082263,1734,"Cornejo Macho"
"Fraxinus excelsior",3172358,1670,"Ash"
"Ligustrum vulgare",3172300,1529,"Common Privet"
"Aesculus spec",3189801,1442,"Buckeye"
"Veronica beccabunga",3172062,1398,"Brooklime"
"Picea abies",5284884,1222,"Common Spruce"
"Berberis vulgaris",3033894,1184,"Barberry"
"Erica excelsa",2882780,1179,"Ericas"
"Pinus sylvestris",5285637,1131,NA
"Robinia pseudoacacia",5352251,1094,"Black Locust"
"Prunus avium",3020791,1053,"Bird Cherry"
"Hypericum perforatum",3189486,972,"Common St. John's Wort"
"Salvia glutinosa",2927026,948,"Jupiter's distaff"
"Frangula alnus",3039454,921,"Alder Buckthorn"
"Rhamnus cathartica",3039491,892,"Buckthorn"
"Populus alba",3040233,868,"Abbey"
"Viburnum rhytidophyllum",2888625,843,"Leatherleaf Arrowwood"
"Mahonia aquifolium",3033865,835,"Hollyleaved Barberry"
"Taxus baccata",5284517,789,"Canada Yew"
"Dombeya acerifolia",6685,780,"Mallow Family"
"Veronica persica",3172077,771,"Bird's Eye Speedwell"
"Crataegus monogyna",9220780,761,NA
"Betula pendula",5331916,756,"Common Birch"
"Sonchus asper",3105782,748,NA
"Prunus laurocerasus",3021496,747,"Cherry Laurel"
"Crataegus laevigata",8252683,736,"English hawthorn"
"Prunus mahaleb",3022789,703,"Gandhi cherry"
"Symphoricarpos albus",8012439,701,"Common Snowberry"
"Ribes alpinum",2986184,685,"Alpine currant"
"Medicago lupulina",2965201,655,"Black Medic"
"Vaccinium oxycoccos",2882940,653,"Cramberry"
"Citrus polyandra",2396,639,"Buchu Family"
"Larix decidua",2686212,637,"Common Larch"
"Cydonia oblonga",5362215,620,"Common Quince"
"Syringa vulgaris",5415039,587,"Common Lilac"
"Salix caprea",5372952,572,"Goat Willow"
"Chenopodium album",3083838,567,"Common Lambsquarters"
"Prunus cerasifera",3021730,558,"Cherry Plum"
"Veronica hederifolia",3172070,557,"Ivy Leaved Speedwell"
"Malva moschata",3152379,509,NA
"Juglans regia",3054368,493,"Carpathian Walnut"
"Phytolacca americana",3084015,489,"American Nightshade"
"Salix arbutifolia",6664,483,"Willow Family"
"Ulmus glabra",5361866,462,"Broadleaf Elm"
"Veronica serpyllifolia",3172057,457,"Thyme Leaved Speedwell"
"Pseudotsuga menziesii",2685796,435,"British Columbia Fir"
"Abies alba",2685484,415,"Christmastree"
"Ribes sanguineum",2986130,412,"Flowering Currant"
"Ribes uva-crispa",2986185,411,"Common-gooseberry"
"Taxodium distichum",2684191,403,"Bald Cypress"
"Ambrosia artemisiifolia",8002952,401,"Annual Ragweed"
"Rhus typhina",3190538,383,NA
"Staphylea calciphila",3190465,381,"Bladdernut"
"Ribes rubrum",2986097,352,"Common Currant"
"Berberis thunbergii",3033896,341,"Japanese Barberry"
"Myrica gale",5414202,340,"Bog-myrtle"
"Docynia delavayi",3001068,331,"Apple"
"Malva sylvestris",3152374,314,"Blue Mallow"
"Veronica sublobata",3725447,306,"False Ivy-Leaved Speedwell"
"Hypericum humifusum",3189543,291,NA
"Sonchus arvensis",3105813,286,"Corn Sow Thistle"
"Eudonia lacustrata",1879731,285,"Little Grey"
"Veronica arvensis",3172048,271,"Common Speedwell"
"Veronica filiformis",3172100,269,"Creeping Speedwell"
"Amelanchier ovalis",3023878,268,"Snowy Mespilus"
"Phytolacca acinosa",3084022,261,"American Pokeweed"
"Polygala vulgaris",3191374,251,"Common Milkwort"
"Veronica teucrium",3725062,244,"Large Speedwell"
"Sorbus torminalis",3012567,241,"Wild Service-tree"
"Medicago falcata",2965354,236,"Sickle Medick"
"Buddleja davidii",3173338,234,"Buddleia"
"Buxus sempervirens",2984671,218,"Box"
"Alnus incana",9148577,211,"Gray Alder"
"Ailanthus altissima",3190653,207,"China-sumac"
"Pinus strobus",5284982,199,"Eastern White Pine"
"Torminalis glaberrima",9410160,198,"Wild Service-tree"
"Aristolochia clematitis",2873991,189,"Birthwort"
"Mespilus germanica",3031774,182,"Medlar"
"Crataegus mollis",3015562,167,"Arnold Hawthorn"
"Betula pubescens",9118014,159,"Brown Birch"
"Salix aurita",5372876,154,"Eared Willow"
"Ulmus minor",5361865,140,"Common Elm"
"Malva alcea",3152365,137,"Cut-leaf Mallow"
"Ulmus laevis",7303616,137,"European White Elm"
"Populus nigra",3040227,135,"Black Cottonwood"
"Cormus domestica",3013215,130,"Service-tree"
"Salix purpurea",5372800,129,"Basket Willow"
"Pyrus communis",5362573,128,"Common Pear"
"Laburnum anagyroides",5356345,126,"Common Laburnum"
"Eudonia mercurella",1879765,121,"Garden Grey"
"Euonymus fortunei",3169137,120,"Climbing Euonymus"
"Veronica spicata",3172059,118,"Breckland Spiked Speedwell"
"Lithocarpus indutus",5332399,113,NA
"Ribes nigrum",2986192,112,"Black Currant"
"Prunus domestica",7931731,106,"Bullace plum"
"Salvia officinalis",2927004,105,"Common Sage"
"Ptelea trifoliata",3190411,102,"American Hop Tree"
"Sonchus palustris",3105650,101,"Marsh Sow-thistle"
"Malva neglecta",3152373,97,"Buttonweed"
"Medicago varia",2965331,95,"Sand Lucerne"
"Paulownia tomentosa",3170823,95,"Empresstree"
"Pinus mugo",5285385,94,"Dwarf Mountain-pine"
"Abies grandis",2685361,91,"Giant Fir"
"Salvia verticillata",2926995,91,"Lilac Sage"
"Ribes aureum",2986111,86,"Buffalo Currant"
"Salix cinerea",5372605,86,"Common Sallow"
"Euphorbia palustris",3064056,82,"Marsh Spurge"
"Pyracantha coccinea",2988188,82,"Firethorn"
"Chaenomeles japonica",3000610,81,"Flowering-quince"
"Veronica scutellata",3172072,80,"Grass-leaf Speedwell"
"Salix viminalis",5372933,77,"Basket willow"
"Swertia perennis",5414540,77,"Alpinebog Swertia"
"Juglans nigra",3054357,76,"American walnut"
"Cotoneaster horizontalis",3025617,72,NA
"Chenopodium ficifolium",3083862,70,"Fig-leaf Goosefoot"
"Cytisus nigricans",5356805,67,"Black Broom"
"Isotrema macrophyllum",2873995,66,"Dutchman's-pipe"
"Veronica longifolia",3172118,66,"Garden Speedwell"
"Cotoneaster integerrimus",3025576,64,"Common Cotoneaster"
"Catalpa bignonioides",3172615,61,"American catalpa"
"Cotinus coggygria",3190522,61,"European Smoketree"
"Salix repens",9148812,58,"Creeping Willow"
"Eudonia truncicolella",1879630,57,"Ground-moss Grey"
"Chamaecyparis lawsoniana",2683866,55,"Ginger Pine"
"Pinus nigra",5284809,55,"Australian pine"
