species_key_lookup,scientific_name,common_name_en,common_name_de
2888728,Sambucus nigra,Black Elder,Schwarzer Holunder
2686212,Larix decidua,Common Larch,Europaeische Laerche
3083838,Chenopodium album,Common Lambsquarters,Borbas-Gänsefuß
5414202,Myrica gale,Bog-myrtle,Gagel
3021037,Prunus padus,Bird Cherry,Ahlkirsche
5284517,Taxus baccata,Canada Yew,Eibe
3172077,Veronica persica,Bird's Eye Speedwell,Persischer Ehrenpreis
3021730,Prunus cerasifera,Cherry Plum,Blut-Kirschpflaume
5285637,Pinus sylvestris,Native Scots Pinewood,Daehle
3152614,Abutilon theophrasti,Abutilon-hemp,Chinesische Samtpappel
3189694,Actinidia chinensis,Chinese gooseberry,Chinesische Stachelbeere
3189809,Aesculus carnea,Red Horse-chestnut,Rote Rosskastanie
3189801,Aesculus spec,Buckeye,Rosskastanie
2876213,Alnus glutinosa,Alder,Schwarz-Erle
9148577,Alnus incana,Gray Alder,Grau-Erle
8002952,Ambrosia artemisiifolia,Annual Ragweed,Aufrechtes Traubenkraut
3024109,Amelanchier lamarckii,Juneberry,Kanadische Felsenbirne
3023878,Amelanchier ovalis,Snowy Mespilus,Echte Felsenbirne
3036892,Aralia elata,Japanese Angelica Tree,Hohe Aralie
2873991,Aristolochia clematitis,Birthwort,Echte Osterluzei
3033077,Aucuba japonica,Japanese acuba,Aukube
3981543,Berberis julianae,Berberis lempergiana,Julia-Berberitze
3033894,Berberis vulgaris,Barberry,Berberitze
5331916,Betula pendula,Common Birch,Haenge-Birke
9118014,Betula pubescens,Brown Birch,Behaarte Birke
5341758,Brugmansia suaveolens,Angel's tears,duftende Engelstrompete
3173338,Buddleja davidii,Buddleia,Buddleja
2943190,Caragana arborescens,Black Karagana,Gewöhnlicher Erbsenstrauch
2875818,Carpinus betulus,Caucasian Hornbeam,Hagebuche
5333294,Castanea sativa,European Chestnut,Edel-Kastanie
3172615,Catalpa bignonioides,American catalpa,Gewoehnlicher Trompetenbaum
3172612,Catalpa speciosa,Northern Catalpa,Prächtiger Trompetenbaum
3000610,Chaenomeles japonica,Flowering-quince,Japanische Scheinquitte
3083862,Chenopodium ficifolium,Fig-leaf Goosefoot,Feigenblaettriger Gaensefuss
3756077,Chenopodium giganteum,Tree Spinach,Baumspinat
1920370,Colotis euippe,Round Winged Orange Tip,""
3013215,Cormus domestica,Service-tree,Speierling
8365953,Cornus alba,Red-bark Dogwood,Tatarischer Hartriegel
3082263,Cornus mas,Cornejo Macho,Dirndlstrauch
3082234,Cornus sanguinea,Bloodtwig dogwood,Blutroter Hartriegel
3082244,Cornus sericea,American dogwood,Auslaeufertreibender Hornstrauch
2875979,Corylus avellana,Barcelona-nuts,Europäische Hasel
2875968,Corylus colurna,Byzantine filbert,Baum-Hasel
2876049,Corylus maxima,Filbert,"Große Hasel, Lambert-Hasel"
3025617,Cotoneaster horizontalis,Purple-flowered Cotoneaster,Faecher-Steinmispel
3025576,Cotoneaster integerrimus,Common Cotoneaster,Felsen-Zwergmispel
3013404,Crataegus crus-galli,Bush Hawthorn,Hahnensporn-Weißdorn
8252683,Crataegus laevigata,English hawthorn,Zweigriffeliger Weissdorn
3015562,Crataegus mollis,Arnold Hawthorn,""
9220780,Crataegus monogyna,English Hawthorn,Eingriffeliger Weissdorn
